address,amount0,amount1,amount2,amount3,amount4,amount5
terra106ddv4m45s7ucz4gfzywghsz675cylchdul5nn,0,0,64415568,193246705,0,0
terra106e7hp66wg2hah0nu9eenwhftum3mp7ptxr7f3,0,0,521326,1563979,0,0
terra106e9thnmw3rny85868eu0uvv29t74ggrjcgcgx,0,0,3484187,10452563,0,0
terra106gg0x6gu5vytdqa64sdngt5vjwkcvw39grn5z,0,0,4996225,14988677,0,0
terra106gvaurm9n9f0fw7meml3tpw7vh6xvs4xm0h3d,0,0,5497900,16493702,0,0
terra106gyum7m803a3pj46j96eze5t37dnltjg2d3xr,0,0,1448580,4345742,0,0
terra106h404kmzg7fzz79n6z2r9az9d2rv30j53jrhn,0,0,2239735,6719205,0,0
terra106h4k7ajtp673pc2l3k0htsq9z5q3ptx30atax,0,0,18303149,54909448,0,0
terra106hp42y7rfdj7fjzkv9e8r4t88t4ad0ghdex0n,0,0,6579348,19738045,0,0
terra106lqmmhnaleh0qujg3ssvjaj468ktd3zwz3gza,0,0,54909397,164728193,0,0
terra106mu6agqll424x8g660q9u7cdcn5s3r0mlcqtc,0,0,10751020,32253061,0,0
terra106n2ehmt9w4lfje0w7dhh63z4lxepks4stt96l,0,0,1301971,3905913,0,0
terra106nk55w6nx99zc25uptrrcy6gqu87uzr5std3c,0,0,0,11847442,3949147,15796589
terra106nl00pukcx0jalkx86nt6nn9wz6yq36p5pwqn,0,0,323859,971579,0,0
terra106nmy3uq757mde4rgrk6qtnpj9xnw7uttvz39h,0,0,7317316,21951949,0,0
terra106nsj696vjmuln5zjfks3p0vlxsylza8fycfmt,0,0,1391651,4174953,0,0
terra106nt62w2wfyquh978l29tte4amckmxfu52wt4v,0,0,28420688,85262066,0,0
terra106p3zk2sddgg2xmprhahz6tz6fsupnzs3m88ka,0,0,167917094,503751283,0,0
terra106pav3av3f793npnl6m0zlcg3htlnlavzvz3fm,0,0,1766100,5298300,0,0
terra106pjux6fa64tjvl9746m8sjpxv7qmskqgxwry9,0,0,16308467,48925402,0,0
terra106q5p9v0nmw0nca0x0l3xqtgwcxu34znmq007f,0,0,12020381,36061143,0,0
terra106qrf6cttac5secgqtufv3rlv8fy4d0pnhplsc,0,0,3089545,9268636,0,0
terra106tv4z0u09py40rm7vlln0emn87eqsfv9kn5gg,0,0,352844,1058532,0,0
terra106u4crjpmdv94apxyfshcknqyxh49a8halgt6z,0,0,1067281,3201843,0,0
terra106ucgyhvzc6kw3d3kdqxlcwfrwm4uwf09ezjju,0,0,265939,797817,0,0
terra106vvdwsuu4adtam7kutzegqks2g8qz3uuwypky,0,0,2457495,7372485,0,0
terra106w84l3ut50ce7vyjkt0yj65h7myrv95kg7kc5,0,0,785178,2355536,0,0
