address,amount0,amount1,amount2,amount3,amount4
terra1ygz43d66lpgxpfykt75k49r0sgs4ayqes2ujr0,230825,134648,5494571716,1831389257,0
terra1pk58yz78n94z6yqh7nh88rqn8nyx7vs63qlh0v,2183715410,1273833989,3821501969,0,0
terra1uapjqtpvjqcf0k9xfe8qk3kqr455zxenwxajac,2169829906,1265734111,3797202335,0,0
terra18n4xdjv5r4lwexkyymml27wkqvq3wh4n4f0xw3,2145155322,1251340604,3754021813,0,0
terra1wk63lkp93qu8v8fprk44lle53tn72rkx8e7arg,2129947420,1242469328,3727407986,0,0
terra162ttv3zupc8k3m6dk6nsvrp4gevfawx9e94yds,1062667907,619889612,4475266884,871866015,0
terra10k5d7h0pyna2mdw5ftsedpgufz89jr0hraa85p,2092975016,1220902092,3662706278,0,0
terra1ydptul7hn6h959gt24m79605feftpwlxnt07zx,2090753476,1219606194,3658818583,0,0
terra1aljn06ynw3gw6kuaaqvz46tal0yxr3xllzu7l2,2083226211,1215215289,3645645869,0,0
terra14ycrum24uxqsqdnad5vjgejrq5gh4f3wgdmlg8,2072077953,1208712139,3626136417,0,0
terra1zakne2kmp78fp477vaqxunj0tl27leqglkc2hw,2071429045,1208333610,3625000830,0,0
terra1y8fd3t9c8h4tk0hqhycpn5ql2jcxcmdn986hl7,2055869738,1199257347,3597772041,0,0
terra1h8dc7t2rxvh9rj7uuea8pptds6w5ghyl0g3p6w,2042736377,1191596220,3574788660,0,0
terra1czx3wuc3e5quwcskwdrn8sw7tfds0afngz7vvc,2013663687,1174637151,3523911453,0,0
terra12pf3yz9uwkl9wdw0cxp5wquqdccxhkjfyxuaak,0,0,4913564209,1637854736,0
terra1jzj9gdgq4nxu8v0f9s3qa3j9u05x6pzerz96mk,1956311697,1141181823,3423545470,0,0
terra13enk029erqzpduwqmspx8mjltz30satd82trvx,1948449567,1136595581,3409786743,0,0
terra1p43yxe0k20ww3g72r87vhwzrgrev78h3zv6a0z,1942367123,1133047488,3399142466,0,0
terra15ryujqgr3xgqwm9mrjwsjcyhq33xel4axkzlf8,1939156309,1131174513,3393523540,0,0
terra10xx46ahg4av6dy65vncwpn7vsc6v2c6nswjauy,1926772301,1123950509,3371851528,0,0
terra170gvns8l0jghjs8lmxx05v4n69n7pqshlcjcqf,1924302773,1122509950,3367529852,0,0
terra16zrhr55k9syrlmeqtae9ahccpgld843gu04qp6,1910946316,1114718684,3344156053,0,0
terra1fv49d6c0pjxrrca2hljgxwjycynkwe00wd8mwe,27008957,15755224,4745904086,1566212803,0
terra1645kmkd7v70s3c20x5rquz33tzeu5a9e4mzdve,807684458,471149267,4137761975,908104724,0
terra17lw7lmjty0mm9upttv3hzfe0k0cc5urc45ptxt,1895187899,1105526274,3316578823,0,0
terra1cxt86dal8zn6p26zue6v7t6a82qfuyfjkemp9d,1885075507,1099627379,3298882137,0,0
terra15tlf66tl45rt6l93redgs5puz2s68gj6sndatu,1884688561,1099401660,3298204981,0,0
terra1z5q2gc5fu00kwdamyux5kxt8sz744rptkmz8eq,880209629,513455617,4046734140,835455763,0
terra1rksuz09vqfgrax2ryyadsy2xrqwzj8j5d275am,1099801771,641551033,3797520998,624289299,0
terra1t8m7n0gz8rps8n92526039ltrwkffpwuqa8ugj,1058319567,617353080,3818600190,655513649,0
terra16nn3dkdqj2vkwggzkghfft4w5nnjuptu92neqt,1837148590,1071670011,3215010033,0,0
terra1hst3dpcadfudne97knvs9yn4tq3awctwqydq00,1817689540,1060318898,3180956695,0,0
terra10q2fh36m6jw4hdzx5eszhmz2w8543hax2hsv63,1815437412,1059005157,3177015472,0,0
terra1gsv8pehfvrknn5pz54un8jaje7ph5w056ztlnr,1802545963,1051485145,3154455436,0,0
terra1mjg5spk8v4t75trrfnf00cray6fgnd9j9qhrfp,5198777,3032620,4491654538,1494185558,0
terra1vqzjjl6pmwlzdpq08zjtjyyghhe5clz02ay0rc,1786600846,1042183827,3126551481,0,0
terra1q52hfajytumzy834fr9s9h6lmxnxhrwg5kj09s,1773581591,1034589261,3103767785,0,0
terra1anlwlq2dtjda5t7d2qhkmhr2gk625pks3uxcu8,1765539649,1029898128,3089694386,0,0
terra1j9ltr6aakaud6awf48gfud6mndef8u5mzmt4vd,1765539649,1029898128,3089694386,0,0
terra16wupazfstmffryyk39qzdk3r3cdy22rsv0ta8f,1763935597,1028962431,3086887295,0,0
terra1tae3yg6eal5dcxm0phawg75cjdemm6kh369jhs,1759040314,1026106850,3078320550,0,0
terra1n3e3wpxcqdwqltspy6glyf9yfrmrtr7uzfskkt,1753588773,1022926784,3068780354,0,0
terra179pt4lppx9va58ww2lyvyhsvdzafytct5kuks2,1741011838,1015590239,3046770717,0,0
terra149ha8zjg2dkdwp3z4equ9rj29m3e224cps98tt,463834944,270570384,4001611508,1063300118,0
terra1wjjg0mvsfgnskjj7qq28uaxqwq5h38q6fx6qrq,0,0,4315583657,1438527885,0
terra1q7a42evwtka5gzwsx49jqxt75flg5kqtgx6czu,1726097191,1006890028,3020670084,0,0
terra1qlza4svxszm7c2j6ll2z2nd6pa55dm2ud79jzu,1697617608,990276938,2970830815,0,0
terra1rg3swucefj8csmrpsnktk7k3272z6ak9kpsv8m,66710962,38914728,4123542709,1335599508,0
terra1vhrm87umqvxm88ux7k5umrwzj98cfn70n67ary,1620086887,945050684,2835152052,0,0
terra1xkr4uuzmzrv493dps86ky3hunvdvpay2szqx4y,1617014392,943258395,2829775187,0,0
terra1f78xr347amrcmurpfjnuu3vnpa585pn48jhv7h,1606923830,937372234,2812116703,0,0
terra1vky958t0xc89nwnjq4cxc2fre035l2la2cenxa,1604381182,935889023,2807667069,0,0
terra1aqkwhnf3sq8jmwuvcrmxe9a9jteje8kgl4p3aq,21970218,12815960,3932474916,1298009011,0
terra1gkm65cvg63ql0pjt80pv7et8v959yp5yld573q,1555351347,907288285,2721864857,0,0
terra1ge7cl3ta85l0g9xz0thknmlenu0wtd5qr9nrfs,1549708836,903996821,2711990463,0,0
terra17kwkceh2xtxy88mtcpj7ymhjtwxs26khumzgq2,1547533832,902728068,2708184206,0,0
terra1h3tz2jkna09el6x4z7ee2x2fpq0f0zrredpy6l,1543058842,900117658,2700352975,0,0
terra1mwdfvwp9kqqec8ytyg5yue5nhy7vzxvhe4g0xg,1532962651,894228213,2682684640,0,0
terra1aa7dt95687qttgynf27vlpphr763wyr4ndqj74,1522385779,888058371,2664175114,0,0
terra1twcy64grxq9mspky9vyquj0zgmhcw9ccws8wve,1503465385,877021474,2631064423,0,0
terra13w09rugtsmqaxwucnvm5xjh93s9cj6l2ra57pv,1501514522,875883471,2627650415,0,0
terra13eeyx0g0ar46yu30adtztcwsxqepr8cv3zkjxf,1488538697,868314240,2604942720,0,0
terra12pt0wy9afsm5n9mmlq5papnsf0p8svqnn2daxq,1488124147,868072419,2604217258,0,0
terra1478p9zx9vgcqzkzy263w5ysaj8pwysgry8q9cc,1476566172,861330267,2610535720,8848306,0
terra1u26g7lq8gwfeh9kumlp7f9rwsjrz0jft8zpsql,1480345938,863535130,2590605392,0,0
terra1vmualu28yeda5lzv65ch6rfx42dcvrktkechnu,1449248488,845394951,2536184854,0,0
terra1ttyhnfqgy67fapwxvpuje86hsmhmn6e0s45a60,1444397774,842565368,2527696104,0,0
terra169qj3uhzma34gaqzsdgafmt0wt528y0s9qchpv,1440763452,840445347,2521336042,0,0
terra1483kkuumz5r5exdgssxkvsllg4trukwnl0wx49,1423945567,830634914,2491904743,0,0
terra1de0u327u8c0985je0wvvu8d4em3axuz8ljxxp8,0,0,3540519718,1180173239,0
terra12f8p3hn2x0aty3tps3z5ygs5czhv4deep8c9fn,1412431719,823918503,2471755509,0,0
terra18f45xj7s5afr0cjs0mcrgcegtpches23g0ppys,1406130888,820243018,2460729054,0,0
terra1d3cnnjt8al4jt9eupfu2e7jjergh2u0nt7q3nj,1398720223,815920130,2447760390,0,0
terra1k4z3yayer5vx6jlu55nanhm8839kd5mj8xhsg5,1397952397,815472231,2446416695,0,0
terra1vwrzpknjhkcphx50uen50kcrl2xnkwrkrr9nq5,1395927454,814291015,2442873046,0,0
terra10kedcyttxskycy77xr9legjq7yu7whs4f836ey,0,0,3482678665,1160892888,0
terra1cml5mmsdh674943psrlvsxva3qxrc4qapq8t33,1378813398,804307816,2412923448,0,0
terra175uue3ztzdemameswa7dpu60asrauzc8u08kmn,1377397635,803481954,2410939337,164491,0
terra1af9uytetvcjxxqkmpvjd8kkp388pfcwsw43s7c,1375284882,802249514,2406748543,0,0
terra1y2av6mjk6qjrr3v3r4rpfh86vcle70g03x202q,1374379009,801721089,2405163267,0,0
terra1p3vuuewqe04hf6hh6ma0u3y0xewe34sq8uslj5,1368930260,798542651,2395627955,0,0
terra19tada2qnteac6hqnc75yrr2s5e73feyfddcsgf,1343377598,783636932,2354088334,1059179,0
terra18u5z54h0d0vcpf5nznam62xa8wt6wzv4cn45fj,1343285116,783582984,2350748953,0,0
terra1ptvt7990hdrhvpe7rgw2a26mzeeqxtguhn5yq7,1342918463,783369103,2350107310,0,0
terra1cf8u2y593c34vkmz0md9rl9g2ladr452jpelwd,1341408644,782488376,2347465128,0,0
terra137h0jvd6ts74np4v2xfx865gdarkxwjual4pq2,24771,14450,3341672023,1113876224,0
terra1eklxtgm8ujj4fp98mzpf8z4gl6t69ms77e0rzy,1319454675,769681893,2309045681,0,0
terra1ad9gxekec4pae7k6ngqajunsaav08040ajre8m,1319323796,769605547,2308816643,0,0
terra1u037casar7s7xdzxd5wj6dlh2gszznryep654f,1318947815,769386225,2308158676,0,0
terra1hgvh60m72e6ppjl8jp7smzp39y33q4474r3ata,1312287510,765501047,2296503142,0,0
terra1ug59glqlv2w90kmmnrn8xz3dx06v776kdnkj5p,1297145699,756668324,2270004973,0,0
terra1wh5dgs6955hdeuqt7mvh6j84ywsxaw25ttks35,1285981984,750156157,2250468472,0,0
terra1cd8r9gz59v9jepnt3x2l3sael6c4jhpsn5ky6s,1273200300,742700175,2228100526,0,0
terra1pt9dhx58n43p6lezzqkgh8wemuqj56yel8g4xw,1271188547,741526652,2224579958,0,0
terra10rfgcml9zl8phtdlwnz94839nee9ss6kkj2l5j,73675705,42977494,3085592923,985553479,0
terra1rcd5t6nhfl4crr7pp8aadfzgf72uha30z8vlua,207615,121108,3120448831,1040028501,0
terra14ml9ql2ktkeefw8h3tulua2erjudyr8tmy8088,64103,37393,3112754076,1037547298,0
terra1th7wznjznnyck42v3eyma6cukqvrttsq75cu5a,1243809470,725555524,2176666573,0,0
terra13rfk5krqxng72uutnmktcu8wn0frxvx8eqhxpy,1223070695,713457905,2140373716,0,0
terra1swm48r56hg5sa7atjflqq6479ld3u450p6zrg2,1221755279,712690579,2138071738,0,0
terra1426s28ynfq6xflzlftnp5pjnyw9ax9853pdkra,1214396515,708397967,2125193902,0,0
terra1cwk4s0jtvt69mawaqsay2a9h20cgqd9h5c2qgk,1203677305,702145095,2106435285,0,0
terra1qqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqq486l9a,1198338114,699030566,2097091699,0,0
terra1ac6fctgd4d6d9wkqeyezp9ycdndx7efjcs0hhv,518349215,302370375,2603721269,565536713,0
terra1hxzwnheshrph7h25ewk00pa20ay38kad62u5y6,1191730762,695176278,2085528834,0,0
terra150th7geg2e3jtlxw67rdqtpwqp9eu9xkkevh2r,1186936995,692379914,2077139742,0,0
terra1x0n68v5nq0gxa83wyjg2dnp0zv5kz6g98fca3z,1171024985,683097908,2049293725,0,0
terra152j5tuhc5nrzypz0ahf4nf4ce7x04gtujq5npc,1163824621,678897695,2036693086,0,0
terra1trnahfjgqzfzxv6hpuaradwfwsdjyap74jmsqr,1150779195,671287864,2013863592,0,0
terra1l8e2hzhrh0kym2xanrw6fmlgfs09zxvunw353z,1117791677,652045145,2030266835,24710466,0
terra12q2z7gy2pzgrlknp8g79hpk9tttxrfec67d5zm,1146089062,668551952,2005655858,0,0
terra17dn43yux6e3sysnheqdq26r8cpfgt0nn2a2tex,1146025168,668514681,2005544045,0,0
terra17882jhstjqlssj9f6tdjfywd6c929mtah3dkex,1145366676,668130561,2004391683,0,0
terra1v5j42p4c08c4fe5ap9nvth0kjtau7tq2tfxyfz,1143599595,667099763,2001299291,0,0
terra1re3024kcwymutmcyxe7jm25lrxrzpvmywuagta,1136655776,663049202,1989147608,0,0
terra1whrl9fz6mmphcl9502dxt82v3fe655n6dpnn60,1132619697,660694823,1982084471,0,0
terra1uvc37exfvhtw36dxrp4jhmqxcmsf6uxycgg5e2,0,0,2826694193,942231397,0
terra1rznspp6ykm2flxz5g7hq8tj25cjegy8j73gndf,1127417108,657659979,1972979939,0,0
terra19nwk7qgt73rf82rarr5e4k04n26nru039z9aye,1122144200,654584116,1963752350,0,0
terra1qweasagmfvgxdz8jjg2xk7llgftfuu7y9gv5hu,1117600675,651933727,1955801182,0,0
terra1vyr7tzwr63qhfem4m9px63qxej6jml0mdtm0c6,1115604518,650769302,1952307907,0,0
terra1p3nyupt6uxgu5urkpq45s7p0kv0k074a4gqncl,1112239355,648806290,1946418872,0,0
terra1kztxvtpelm3dsx7jtp005ymqm0tlxvv3jlaxt5,1099111432,641148335,1923445007,0,0
terra1rdn7cfxandm9zhdcek5ee3ll77wvaums56hyn9,1096896224,639856131,1919568393,0,0
terra1wlr9swtrhwvum0vh5engyxy9csvfufp8u2zclz,1096868282,639839831,1919519493,0,0
terra143qlhnnusna3nv7yqexdj4wup6c5u0vhujjyh2,1090803411,636301989,1908905969,0,0
terra1a2wsyf3f2lgs2sud03389jjevu79t8vppdupxt,1090522939,636138381,1908415144,0,0
terra1hjc0z8tnx2pj34xqzcewm2znxyx4w53nl2nfgy,1085006374,632920385,1898761155,0,0
terra1g749ntxen7473lvfhjew9qv77sjntcmcwxadec,1081232295,630718839,1892156517,0,0
terra198cgz6hl45zrkqjw8kych3x8eganvg2rj9x5ju,1071394380,624980055,1874940166,0,0
terra1nuwf8r3fhrrssdgw8ynwjj2frfwry56g8yr2lr,1065866625,621755531,1865266593,0,0
terra1t6a5u6teja70efvgzg8rrxjcpzt2vcha5dmt0r,1063920372,620620217,1861860651,0,0
terra1n55crmpd939f549rus0wz9vtnjmmtmrkk9u24t,1060558270,618658991,1855976973,0,0
terra1r89s85jaujkgmypds64h60ucduka0h0mvl74nx,1057710989,616998077,1850994231,0,0
terra1zdrghssxastng2leq0zjarypvx4juzm9zkn6wx,314640863,183540503,2408170644,619183044,0
terra1wmzar4h9surgla7jqvt0cmk4xut44grx0s38wj,1057547561,616902744,1850708232,0,0
terra16x5jqyaqyryxu9pn2vcph6evxxmec5y8wvxma4,1055127699,615491158,1846473474,0,0
terra16qddd8dnpjpxjtwk0ulpkax2vrea2f8q2twx8w,94118808,54902638,2565083954,800125346,0
terra1up6rqvaj8uyw4rtymcrla2xm02kjg6xp6a9t3p,147654196,86131614,2522340918,754648691,0
terra1dasn7y6l2szfext4665lf3zmj044wspcehf42w,1048071972,611375317,1834125952,0,0
terra1c3xpy787052pmqm3ektwlr95ykeqtkc4j7jczj,1046038882,610189348,1830568044,0,0
terra1jvf53dzgc5hc29lc5rs6elr504shc9m6qd05ly,1041251100,607396475,1822189426,0,0
terra16yyw87xu3lfgpruex55h2dyuvxsqdjgkvlpaqq,1038080830,605547151,1816641454,0,0
terra10psnwnvkpzzcact8a575sw5t7k45k2c6m87pjp,1037223426,605046998,1815140996,0,0
terra1v87hvmtjxauhp6sdmd4fa6h7k4fdxxaxqklad3,1029894639,600771872,1802315618,0,0
terra19sw70nu9rel7azdptw8gcm3hyuwnhz7fm52etv,1026290170,598669266,1796007799,0,0
terra1qcyuhzg7js5x6xqqgq7ahl809yntfwcvgfqktx,354386894,206725688,2289326366,556383100,0
terra1gp7lsemujuw7au4dl6r72qtwh9azucneywl35q,1018570564,594166162,1782498488,0,0
terra1tna8m409ehcpqt6c85amjpd04555snt5egukl5,953803421,556385329,1824235304,51693105,0
